optimizer,seed,train_loss,val_loss,test_loss,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1,train_auroc,val_auroc,test_auroc,gen_gap,acc_gen_gap,lambda_max,lambda_max_n_iters,lambda_max_converged,n_train_steps,mean_sharpness,max_sharpness,std_sharpness
sgd,0,0.0006570437108166516,0.21837247908115387,0.3856924772262573,1.0,0.9651162790697675,0.9883720930232558,1.0,0.9523809523809523,0.9841269841269841,1.0,0.9913194444444444,0.9728009259259259,0.3850354335154407,0.011627906976744207,0.27878129482269287,17,True,500,1.6915961396080093e-06,2.5469926185905933e-06,4.695779409757961e-07
sgd,1,0.0006470382795669138,0.16254855692386627,0.2952558398246765,1.0,0.9651162790697675,0.9767441860465116,1.0,0.9523809523809523,0.96875,1.0,0.9930555555555556,0.9866898148148149,0.2946088015451096,0.023255813953488413,0.35747838020324707,8,True,500,1.8792285345625714e-06,3.2222014851868153e-06,6.640952392444888e-07
sgd,2,0.0006412864313460886,0.13100314140319824,0.3653551936149597,1.0,0.9767441860465116,0.9767441860465116,1.0,0.96875,0.96875,1.0,0.9953703703703703,0.9728009259259259,0.36471390718361363,0.023255813953488413,0.3041894733905792,12,True,500,1.6884180240595015e-06,2.425804268568754e-06,5.661382260768733e-07
sgd,3,0.0007172566256485879,0.15136291086673737,0.32711583375930786,1.0,0.9767441860465116,0.9767441860465116,1.0,0.96875,0.96875,1.0,0.9947916666666666,0.9785879629629629,0.3263985771336593,0.023255813953488413,0.37378108501434326,7,True,500,1.6044883750510053e-06,3.0355295166373253e-06,8.783500788922538e-07
sgd,4,0.00055797299137339,0.07126735895872116,0.26259833574295044,1.0,0.9651162790697675,0.9767441860465116,1.0,0.9523809523809523,0.96875,1.0,0.998263888888889,0.9722222222222222,0.26204036275157705,0.023255813953488413,0.20533424615859985,14,True,500,1.1134136457258137e-06,1.6861595213413239e-06,4.078782751548715e-07
adam,0,3.7386533222161233e-05,0.28037577867507935,0.673669695854187,1.0,0.9651162790697675,0.9767441860465116,1.0,0.9523809523809523,0.96875,1.0,0.994212962962963,0.9710648148148149,0.6736323093209649,0.023255813953488413,0.011967572383582592,7,True,500,7.969320137135583e-08,1.7302227206528187e-07,5.6786525703955704e-08
adam,1,3.697490319609642e-05,0.25900429487228394,0.5718591213226318,1.0,0.9767441860465116,0.9767441860465116,1.0,0.96875,0.96875,1.0,0.9913194444444444,0.9710648148148149,0.5718221464194357,0.023255813953488413,0.014205776154994965,8,True,500,5.953297588234818e-08,1.2368036550469697e-07,4.3051418430195554e-08
adam,2,3.5330362152308226e-05,0.22416482865810394,0.3290541470050812,1.0,0.9767441860465116,0.9767441860465116,1.0,0.96875,0.967741935483871,1.0,0.994212962962963,0.9866898148148149,0.32901881664292887,0.023255813953488413,0.011427083984017372,10,True,500,5.044021378353136e-08,1.2521923054009676e-07,4.114495411045027e-08
adam,3,4.499766873777844e-05,0.18762102723121643,0.4300349950790405,1.0,0.9651162790697675,0.9883720930232558,1.0,0.9523809523809523,0.9841269841269841,1.0,0.9965277777777778,0.9791666666666666,0.42998999741030275,0.011627906976744207,0.019304191693663597,9,True,500,8.723218059003557e-08,1.7437560018151999e-07,6.190943224737566e-08
adam,4,2.304019835719373e-05,0.03398070111870766,0.4756445288658142,1.0,0.9883720930232558,0.9767441860465116,1.0,0.9846153846153847,0.96875,1.0,1.0,0.9837962962962963,0.475621488667457,0.023255813953488413,0.013303992338478565,9,True,500,5.988167828263613e-08,1.0389703675173223e-07,2.4124009456727435e-08
lbfgs,0,1.4054982067079891e-08,0.10502615571022034,3.2508130073547363,1.0,0.9767441860465116,0.9651162790697675,1.0,0.96875,0.9523809523809523,1.0,0.9988425925925927,0.9771412037037037,3.2508129932997543,0.03488372093023251,0.00010131146700587124,6,True,20,1.1716586589827216e-09,2.3631523404787913e-09,1.1789587084365394e-09
lbfgs,1,1.0224708191231002e-08,0.5845116376876831,3.3472886085510254,1.0,0.9767441860465116,0.9767441860465116,1.0,0.96875,0.96875,1.0,0.9988425925925926,0.974537037037037,3.347288598326317,0.023255813953488413,0.00018266268307343125,7,True,20,3.228297490442955e-11,3.632809608689058e-10,1.8715476390873675e-10
lbfgs,2,2.1076406397924075e-08,0.9319872260093689,1.5410069227218628,1.0,0.9651162790697675,0.9767441860465116,1.0,0.9538461538461539,0.96875,1.0,0.9733796296296295,0.9612268518518519,1.5410069016454564,0.023255813953488413,6.107917579356581e-05,7,True,20,1.470823517233516e-13,1.773940994098666e-10,1.0486220225480736e-10
lbfgs,3,2.2999081750185724e-08,0.4520501494407654,2.1185038089752197,1.0,0.9883720930232558,0.9767441860465116,1.0,0.9841269841269841,0.96875,1.0,0.9965277777777778,0.9713541666666667,2.118503785976138,0.023255813953488413,8.41061701066792e-05,7,True,20,2.648601303556486e-11,5.1319659633009e-10,2.2042696834478903e-10
lbfgs,4,1.1895319396160176e-08,0.6531612873077393,1.6016958951950073,1.0,0.9767441860465116,0.9651162790697675,1.0,0.967741935483871,0.9538461538461539,1.0,0.9924768518518519,0.9577546296296297,1.601695883299688,0.03488372093023251,4.110424924874678e-05,8,True,20,-2.949196442614266e-12,1.8244961097479973e-10,1.2487630374202752e-10
